Sample,Sample detail,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Category,Sub-category,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
,,,,,,,current_vote,Some other party,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",UNMATCHED,,Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-13-08-2020.xlsx,V001a
,,,,,,,historic_vote,Remain,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",UNMATCHED,,Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-13-08-2020.xlsx,V001a
,,,,,,,historic_vote,Leave,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",UNMATCHED,,Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-13-08-2020.xlsx,V001a
,,,,,,,historic_vote,2019 Conservative Remainers,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",UNMATCHED,,Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-13-08-2020.xlsx,V001a
,,,,,,,historic_vote,2019 Conservative Leavers,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",UNMATCHED,,Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-13-08-2020.xlsx,V001a
,,,,,,,historic_vote,2019 Labour Remainers,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",UNMATCHED,,Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-13-08-2020.xlsx,V001a
,,,,,,,historic_vote,2019 Labour Leavers,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",UNMATCHED,,Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-13-08-2020.xlsx,V001a
,,,,,,,historic_vote,2019 Lib Dem Remainers,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",UNMATCHED,,Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-13-08-2020.xlsx,V001a
,,,,,,,gender,Male,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",UNMATCHED,,Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,87.6,12.4,,,,,,,,,VI-13-08-2020.xlsx,V001a
,,,,,,,gender,Female,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",UNMATCHED,,Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,92.6,7.4,,,,,,,,,VI-13-08-2020.xlsx,V001a
,,,,,,,age,18-34,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",UNMATCHED,,Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,76.3,23.7,,,,,,,,,VI-13-08-2020.xlsx,V001a
,,,,,,,age,35-44,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",UNMATCHED,,Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,86.2,13.8,,,,,,,,,VI-13-08-2020.xlsx,V001a
,,,,,,,age,45-54,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",UNMATCHED,,Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,98.8,1.2,,,,,,,,,VI-13-08-2020.xlsx,V001a
,,,,,,,age,55-64,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",UNMATCHED,,Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,98.2,1.8,,,,,,,,,VI-13-08-2020.xlsx,V001a
,,,,,,,age,65+,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",UNMATCHED,,Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,98.2,1.8,,,,,,,,,VI-13-08-2020.xlsx,V001a
,,,,,,,region,North,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",UNMATCHED,,Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,91.5,8.5,,,,,,,,,VI-13-08-2020.xlsx,V001a
,,,,,,,region,Midlands,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",UNMATCHED,,Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,83.1,16.9,,,,,,,,,VI-13-08-2020.xlsx,V001a
,,,,,,,region,London,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",UNMATCHED,,Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,80.1,19.9,,,,,,,,,VI-13-08-2020.xlsx,V001a
,,,,,,,region,South,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",UNMATCHED,,Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,94.4,5.6,,,,,,,,,VI-13-08-2020.xlsx,V001a
,,,,,,,region,Wales,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",UNMATCHED,,Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,95.7,4.3,,,,,,,,,VI-13-08-2020.xlsx,V001a
,,,,,,,region,Scotland,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",UNMATCHED,,Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,97.3,2.7,,,,,,,,,VI-13-08-2020.xlsx,V001a
,,,,,,,region,Northern Ireland,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",UNMATCHED,,Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,87.3,12.7,,,,,,,,,VI-13-08-2020.xlsx,V001a
,,,,,,,total,Total,"Q:V001b. Over 2 million people on the electoral register are only entitled to vote in local elections, and cannot vote in general elections. This can be for various reasons, including because they are not a British citizen. Are you entitled to vote in general elections, or are you only entitled to vote in local elections?",Voting intention (Local),local election,I am entitled to vote in general elections,I am not entitled to vote in general elections but I can vote in local elections,,,,,,,,,93.4,6.6,,,,,,,,,VI-13-08-2020.xlsx,V001b
,,,,,,,current_vote,Conservative,"Q:V001b. Over 2 million people on the electoral register are only entitled to vote in local elections, and cannot vote in general elections. This can be for various reasons, including because they are not a British citizen. Are you entitled to vote in general elections, or are you only entitled to vote in local elections?",Voting intention (Local),local election,I am entitled to vote in general elections,I am not entitled to vote in general elections but I can vote in local elections,,,,,,,,,,,,,,,,,,,VI-13-08-2020.xlsx,V001b
,,,,,,,current_vote,Labour,"Q:V001b. Over 2 million people on the electoral register are only entitled to vote in local elections, and cannot vote in general elections. This can be for various reasons, including because they are not a British citizen. Are you entitled to vote in general elections, or are you only entitled to vote in local elections?",Voting intention (Local),local election,I am entitled to vote in general elections,I am not entitled to vote in general elections but I can vote in local elections,,,,,,,,,,,,,,,,,,,VI-13-08-2020.xlsx,V001b
,,,,,,,current_vote,Liberal Democrat,"Q:V001b. Over 2 million people on the electoral register are only entitled to vote in local elections, and cannot vote in general elections. This can be for various reasons, including because they are not a British citizen. Are you entitled to vote in general elections, or are you only entitled to vote in local elections?",Voting intention (Local),local election,I am entitled to vote in general elections,I am not entitled to vote in general elections but I can vote in local elections,,,,,,,,,,,,,,,,,,,VI-13-08-2020.xlsx,V001b
,,,,,,,current_vote,SNP,"Q:V001b. Over 2 million people on the electoral register are only entitled to vote in local elections, and cannot vote in general elections. This can be for various reasons, including because they are not a British citizen. Are you entitled to vote in general elections, or are you only entitled to vote in local elections?",Voting intention (Local),local election,I am entitled to vote in general elections,I am not entitled to vote in general elections but I can vote in local elections,,,,,,,,,,,,,,,,,,,VI-13-08-2020.xlsx,V001b
,,,,,,,current_vote,Plaid Cymru,"Q:V001b. Over 2 million people on the electoral register are only entitled to vote in local elections, and cannot vote in general elections. This can be for various reasons, including because they are not a British citizen. Are you entitled to vote in general elections, or are you only entitled to vote in local elections?",Voting intention (Local),local election,I am entitled to vote in general elections,I am not entitled to vote in general elections but I can vote in local elections,,,,,,,,,,,,,,,,,,,VI-13-08-2020.xlsx,V001b
,,,,,,,current_vote,UKIP,"Q:V001b. Over 2 million people on the electoral register are only entitled to vote in local elections, and cannot vote in general elections. This can be for various reasons, including because they are not a British citizen. Are you entitled to vote in general elections, or are you only entitled to vote in local elections?",Voting intention (Local),local election,I am entitled to vote in general elections,I am not entitled to vote in general elections but I can vote in local elections,,,,,,,,,,,,,,,,,,,VI-13-08-2020.xlsx,V001b
