Sample,Sample detail,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Category,Sub-category,Question detail,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
,,,,,,,age,45-54,"To what extent do you approve or disapprove of …
 The way Boris Johnson is handling his job as Prime Minister",Neither Approve nor Disapprove,TOTAL APPROVE,TOTAL DISAPPROVE,,,,,,,,16.8,31.7,51.6,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V006_
,,,,,,,age,55-64,"To what extent do you approve or disapprove of …
 The way Boris Johnson is handling his job as Prime Minister",Neither Approve nor Disapprove,TOTAL APPROVE,TOTAL DISAPPROVE,,,,,,,,12.0,27.6,60.5,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V006_
,,,,,,,age,65+,"To what extent do you approve or disapprove of …
 The way Boris Johnson is handling his job as Prime Minister",Neither Approve nor Disapprove,TOTAL APPROVE,TOTAL DISAPPROVE,,,,,,,,11.7,35.1,53.2,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V006_
,,,,,,,gender,Male,"To what extent do you approve or disapprove of …
 The way Boris Johnson is handling his job as Prime Minister",Neither Approve nor Disapprove,TOTAL APPROVE,TOTAL DISAPPROVE,,,,,,,,18.7,31.0,50.3,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V006_
,,,,,,,gender,Female,"To what extent do you approve or disapprove of …
 The way Boris Johnson is handling his job as Prime Minister",Neither Approve nor Disapprove,TOTAL APPROVE,TOTAL DISAPPROVE,,,,,,,,21.2,29.0,49.8,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V006_
,,,,,,,region,North,"To what extent do you approve or disapprove of …
 The way Boris Johnson is handling his job as Prime Minister",Neither Approve nor Disapprove,TOTAL APPROVE,TOTAL DISAPPROVE,,,,,,,,16.8,36.0,47.2,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V006_
,,,,,,,region,Midlands,"To what extent do you approve or disapprove of …
 The way Boris Johnson is handling his job as Prime Minister",Neither Approve nor Disapprove,TOTAL APPROVE,TOTAL DISAPPROVE,,,,,,,,23.1,30.5,46.4,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V006_
,,,,,,,region,London,"To what extent do you approve or disapprove of …
 The way Boris Johnson is handling his job as Prime Minister",Neither Approve nor Disapprove,TOTAL APPROVE,TOTAL DISAPPROVE,,,,,,,,19.0,35.1,45.8,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V006_
,,,,,,,region,South,"To what extent do you approve or disapprove of …
 The way Boris Johnson is handling his job as Prime Minister",Neither Approve nor Disapprove,TOTAL APPROVE,TOTAL DISAPPROVE,,,,,,,,22.8,28.2,49.0,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V006_
,,,,,,,region,Wales,"To what extent do you approve or disapprove of …
 The way Boris Johnson is handling his job as Prime Minister",Neither Approve nor Disapprove,TOTAL APPROVE,TOTAL DISAPPROVE,,,,,,,,20.6,25.1,54.4,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V006_
